date,english,german,french,italian,spanish,total,,year 
1/1/2018,280,124,127,74,69,674,,)
1/2/2018,230,132,105,79,59,605,,
1/3/2018,288,151,125,94,64,722,,
1/4/2018,259,144,114,98,74,689,,
1/5/2018,266,174,126,115,97,778,,
1/6/2018,365,237,201,154,96,"1,053",,
1/7/2018,270,166,110,95,90,731,,
1/8/2018,225,142,121,96,65,649,,
1/9/2018,219,92,103,78,53,545,,
1/10/2018,243,134,123,82,62,644,,
1/11/2018,230,113,73,92,57,565,,
1/12/2018,315,146,114,102,0,677,,
1/13/2018,290,181,136,121,84,812,,
1/14/2018,244,130,104,87,67,632,,
1/15/2018,183,111,81,67,46,488,,
1/16/2018,174,103,75,62,39,453,,
1/17/2018,197,145,101,76,55,574,,
1/18/2018,251,131,107,81,51,621,,
1/19/2018,305,142,126,96,82,751,,
1/20/2018,268,155,156,114,80,773,,
1/21/2018,188,118,114,82,52,554,,
1/22/2018,169,128,102,85,48,532,,
1/23/2018,200,106,93,97,67,563,,
1/24/2018,244,171,140,87,78,720,,
1/25/2018,312,180,139,115,84,830,,
1/26/2018,378,210,202,145,100,"1,035",,
1/27/2018,400,197,198,139,115,"1,049",,
1/28/2018,270,139,138,127,88,762,,
1/29/2018,236,128,119,74,46,603,,
1/30/2018,154,90,80,64,40,428,,
1/31/2018,244,110,120,84,54,612,,
2/1/2018,353,154,153,114,94,868,,
2/2/2018,336,214,176,144,104,974,,
2/3/2018,335,202,158,115,89,899,,
2/4/2018,342,171,145,120,99,877,,
2/5/2018,266,131,107,90,70,664,,
2/6/2018,239,140,102,94,56,631,,
2/7/2018,260,152,158,101,94,765,,
2/8/2018,277,181,157,103,95,813,,
2/9/2018,397,179,183,129,95,983,,
2/10/2018,371,198,214,190,102,"1,075",,
2/11/2018,299,146,156,127,70,798,,
2/12/2018,252,153,124,108,84,721,,
2/13/2018,294,164,160,100,88,806,,
2/14/2018,389,200,163,122,106,980,,
2/15/2018,500,254,254,182,0,"1,190",,
2/16/2018,517,243,276,202,154,"1,392",,
2/17/2018,559,316,242,279,146,"1,542",,
2/18/2018,401,225,216,131,121,"1,094",,
2/19/2018,347,208,148,120,91,914,,
2/20/2018,234,120,101,92,56,603,,
2/21/2018,231,159,136,115,68,709,,
2/22/2018,358,177,170,110,87,902,,
2/23/2018,349,172,204,144,111,980,,
2/24/2018,372,235,200,168,90,"1,065",,
2/25/2018,346,178,154,115,72,865,,
2/26/2018,228,128,134,87,65,642,,
2/27/2018,210,144,100,86,60,600,,
2/28/2018,263,167,143,106,87,766,,
3/1/2018,372,219,201,129,102,"1,023",,
3/2/2018,417,237,208,131,113,"1,106",,
3/3/2018,426,225,202,180,103,"1,136",,
3/4/2018,404,223,170,143,95,"1,035",,
3/5/2018,285,180,144,103,92,804,,
3/6/2018,231,164,129,106,83,713,,
3/7/2018,377,190,148,151,86,952,,
3/8/2018,376,211,134,147,103,971,,
3/9/2018,440,229,205,156,84,"1,114",,
3/10/2018,438,272,241,191,107,"1,249",,
3/11/2018,333,152,200,136,89,910,,
3/12/2018,259,182,131,115,81,768,,
3/13/2018,281,157,100,105,55,698,,
3/14/2018,331,204,164,140,102,941,,
3/15/2018,350,218,195,137,89,989,,
3/16/2018,516,289,225,184,0,"1,214",,
3/17/2018,429,247,214,167,106,"1,163",,
3/18/2018,353,199,171,144,98,965,,
3/19/2018,313,197,175,122,78,885,,
3/20/2018,307,175,143,105,67,797,,
