date,english,german,french,italian,spanish,total,covid_period,estimated_english_calls,estimated_german_calls,estimated_french_calls,estimated_italian_calls,estimated_spanish_calls,english_weighted_calls,german_weighted_calls,french_weighted_calls,italian_weighted_calls,spanish_weighted_calls,total_weighted_calls,english_estimated_daily_volumes,german_estimated_daily_volumes,french_estimated_daily_volumes,italian_estimated_daily_volumes,spanish_estimated_daily_volumes,total_estimated_daily_volume,english_weighted_languages,german_weighted_languages,french_weighted_languages,italian_weighted_languages,spanish_weighted_languages
2018-01-01,280,124,127,74,69,674,0,16540.16,7324.928,7502.143999999999,4371.328,4075.968,280.0,124.0,127.0,74.0,69.0,674.0,23296.0,10316.8,10566.4,6156.8,5740.8,56076.80000000001,0.000179055037042,7.929580211860478e-05,8.121424894405488e-05,4.732168836110285e-05,4.4124276985352656e-05
2018-01-02,230,132,105,79,59,605,0,13586.56,7797.503999999999,6202.56,4666.688,3485.248,230.0,132.0,105.0,79.0,59.0,605.0,19136.0,10982.4,8736.0,6572.8,4908.8,50336.00000000001,0.0001470809232845,8.441166031980508e-05,6.714563889075404e-05,5.051909973685304e-05,3.772945423385227e-05
2018-01-03,288,151,125,94,64,722,0,17012.735999999997,8919.872,7383.999999999999,5552.768,3780.608,288.0,151.0,125.0,94.0,64.0,722.0,23961.6,12563.2,10400.0,7820.8,5324.8,60070.40000000001,0.0001841708952432,9.65618235476558e-05,7.99352843937548e-05,6.0111333864103614e-05,4.0926865609602464e-05
2018-01-04,259,144,114,98,74,689,0,15299.648,8506.367999999999,6734.208,5789.056,4371.328,259.0,144.0,114.0,98.0,74.0,689.0,21548.8,11980.8,9484.8,8153.6,6156.8,57324.8,0.0001656259092638,9.208544762160556e-05,7.290097936710439e-05,6.266926296470377e-05,4.732168836110285e-05
2018-01-05,266,174,126,115,97,778,0,15713.151999999998,10278.527999999998,7443.071999999999,6793.28,5729.984,266.0,174.0,126.0,115.0,97.0,778.0,22131.2,14476.8,10483.2,9568.0,8070.400000000001,64729.6,0.0001701022851899,0.0001112699158761,8.057476666890485e-05,7.354046164225442e-05,6.202978068955373e-05
2018-01-06,365,237,201,154,96,"1,053",0,21561.28,14000.063999999998,11873.472,9097.088,5670.911999999999,365.0,237.00000000000003,201.0,154.0,96.0,754.0,30368.0,19718.4,16723.2,12812.8,7987.200000000001,87609.6,0.0002334110304297,0.0001515572992105,0.0001285359373051,9.848027037310594e-05,6.13902984144037e-05
2018-01-07,270,166,110,95,90,731,0,15949.44,9805.952,6497.919999999999,5611.839999999999,5316.48,270.0,166.0,110.0,95.0,90.0,731.0,22464.0,13811.2,9152.0,7904.0,7488.0,60819.2,0.0001726602142905,0.0001061540576749,7.034305026650423e-05,6.075081613925365e-05,5.755340476350346e-05
2018-01-08,225,142,121,96,65,649,0,13291.2,8388.224,7147.712,5670.911999999999,3839.68,225.0,142.0,121.0,96.0,65.0,649.0,18720.0,11814.4,10067.2,7987.200000000001,5408.0,53996.8,0.0001438835119087,9.080648307130546e-05,7.737735529315465e-05,6.13902984144037e-05,4.15663478847525e-05
2018-01-09,219,92,103,78,53,545,0,12936.767999999998,5434.624,6084.415999999999,4607.616,3130.816,219.0,92.0,103.0,78.0,53.0,545.0,18220.8,7654.400000000001,8569.6,6489.6,4409.6,45344.0,0.0001400466182578,5.883236931380354e-05,6.586667434045397e-05,4.9879617461703005e-05,3.389256058295204e-05
2018-01-10,243,134,123,82,62,644,0,14354.496,7915.647999999999,7265.856,4843.904,3662.464,243.0,134.0,123.0,82.0,62.0,644.0,20217.6,11148.8,10233.6,6822.400000000001,5158.400000000001,53580.8,0.0001553941928614,8.569062487010516e-05,7.865631984345473e-05,5.243754656230316e-05,3.964790105930239e-05
